STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
NORTH,7176,66,58,57,52,50,63,,,78,,,,,,,,58
SOUTH,6985,60,64,41,42,,53,65,,76,,,,,,,,80
,6974,70,68,58,36,52,63,,,81,,,,,51,,,
WEST,7154,72,73,24,60,,39,75,,79,,,,,59,,,
CENTRAL,7174,71,68,53,42,41,54,72,,80,,,,,,,,
EAST,7304,66,41,44,42,,53,87,,66,,,,,,,,83
NORTH,7068,62,84,40,43,,31,73,,68,,,,,,,,79
CENTRAL,7138,55,61,68,49,53,41,,,67,,,82,,,,,
EAST,7175,59,58,55,48,60,51,79,,65,,,,,,,,
CENTRAL,7102,65,71,48,42,42,45,75,,84,,,,,,,,
,6978,61,54,61,43,60,60,,,67,,,,,68,,,
NORTH,7146,68,51,50,60,38,63,,,71,,,,,,,,71
,7238,62,68,38,60,,50,,51,75,,,,,,,,66
WEST,7244,55,59,56,65,,49,46,,75,,,,,,,69,
SOUTH,6997,76,56,51,51,30,65,,,80,,,,60,,,,
ALPHA,7101,58,69,44,58,,46,52,,80,,,,,,,,71
EAST,7286,52,55,53,56,53,54,,,68,,,81,,,,,
SOUTH,7129,63,66,23,48,,38,72,,77,,,84,,,,,
,7022,68,75,40,55,37,41,,,89,,,,,65,,,
WEST,7076,53,58,51,72,24,56,,,84,,,,73,,,,
EAST,6971,58,60,40,42,,37,85,,70,,,,,,,,76
NORTH,7080,64,70,45,47,54,55,,55,75,,,,,,,,
SOUTH,7087,54,70,60,45,44,65,,46,82,,,,,,,,
ALPHA,7005,58,46,51,60,56,54,,,77,,,,,63,,,
NORTH,7110,70,81,36,44,,40,,47,65,,,77,,,,,
WEST,7220,53,75,22,60,,50,52,,68,,,75,,,,,
EAST,7085,72,59,44,34,,46,79,,84,,,,52,,,,
,6999,64,68,52,44,,49,59,,66,,66,,,,,,
ALPHA,7107,53,69,56,43,,42,78,,78,,,,,,48,,
EAST,7079,69,75,38,44,51,29,84,,77,,,,,,,,
CENTRAL,7192,47,64,42,47,,49,,66,73,,,,76,,,,
WEST,7160,64,84,40,58,34,43,,,75,,,68,,,,,
ALPHA,7023,60,59,39,41,,35,76,,76,,,,,,,,72
CENTRAL,6988,57,66,45,46,,36,74,,84,,,,,,50,,
WEST,6980,60,68,52,38,,56,,50,67,,,,,,,,66
EAST,6959,59,71,44,38,,51,61,,90,54,,,,,,,
ALPHA,7029,67,46,42,43,,52,,68,78,,,,,63,,,
EAST,7265,61,52,37,53,,49,66,,58,,,,,,,,85
NORTH,7020,67,78,44,48,,31,,48,73,,,,,,,71,
WEST,7064,62,63,28,53,,51,78,,77,47,,,,,,,
,7137,59,65,49,47,54,50,,55,76,,,,,,,,
ALPHA,7245,70,50,54,42,55,49,,,74,,63,,,,,,
EAST,7253,52,66,61,32,55,62,,,86,,,,,,42,,
CENTRAL,7258,59,59,48,39,52,40,82,,80,,,,,,,,
SOUTH,7027,75,49,46,52,43,54,63,,74,,,,,,,,
ALPHA,7131,60,56,61,37,47,51,,,73,,,,64,,,,
NORTH,7062,57,58,51,65,32,62,,,71,,,,,,54,,
SOUTH,7009,68,76,50,51,23,59,,,72,,,,,46,,,
CENTRAL,7090,63,64,43,43,51,54,64,,72,,,,,,,,
ALPHA,7071,61,51,48,44,,54,,48,79,,66,,,,,,
EAST,7295,72,60,43,49,37,28,82,,80,,,,,,,,
ALPHA,7303,62,74,32,43,,41,,61,73,,,,,,,,63
,7048,51,74,40,35,,44,63,,79,,,,,,,,64
CENTRAL,7290,66,71,42,45,47,37,59,,79,,,,,,,,
NORTH,6996,64,66,42,37,,32,80,,71,,,,,,,56,
WEST,7172,80,53,46,44,34,40,72,,81,,,,,,,,
NORTH,7200,59,71,40,50,,45,,45,65,,,,63,,,,
SOUTH,7201,65,56,49,47,30,51,72,,72,,,,,,,,
NORTH,7116,58,54,50,39,,28,70,,79,,,69,,,,,
,7202,70,78,37,44,,25,63,,66,,,58,,,,,
WEST,7281,59,56,28,52,,40,74,,66,,,,66,,,,
CENTRAL,7000,55,56,40,40,,36,69,,79,,,,,,,,60
SOUTH,7093,60,45,52,57,,31,,62,65,,,,64,,,,
WEST,7100,64,76,36,65,31,31,,,71,,,,63,,,,
ALPHA,7257,60,51,50,37,,39,60,,71,,66,,,,,,
WEST,7250,61,62,29,48,,26,85,,79,,,,,53,,,
,7155,62,41,49,38,38,52,82,,80,,,,,,,,
ALPHA,7239,54,39,52,58,,40,52,,70,,,,73,,,,
,7006,60,64,49,30,68,47,,49,71,,,,,,,,
CENTRAL,7054,63,59,39,26,,30,78,,76,,,,,,,,69
CENTRAL,7246,58,50,50,44,,39,56,,70,,,69,,,,,
EAST,7097,68,56,42,31,,26,62,,78,,,,72,,,,
SOUTH,7092,52,48,54,46,,43,55,,82,,,,,,,,55
NORTH,7044,67,70,31,38,,20,64,,77,,,63,,,,,
NORTH,7122,52,66,37,36,,16,74,,67,,,75,,,,,
,7072,62,54,46,29,,44,60,,78,,,,,,,,62
CENTRAL,7120,75,59,81,60,38,37,,,86,,,,,,,,65
,7167,61,60,38,45,,53,,48,82,,,,,,44,,
ALPHA,7203,47,74,41,48,,51,,35,72,,,,62,,,,
CENTRAL,7030,60,69,46,33,,42,58,,73,,,,,,,,53
ALPHA,6975,60,63,41,36,,30,72,,68,,,,,,,,57
NORTH,6984,58,45,41,44,,48,70,,70,52,,,,,,,
SOUTH,7261,59,45,41,36,29,61,75,,81,,,,,,,,
NORTH,7134,67,50,52,54,50,41,,46,65,,,,,,,,
CENTRAL,7234,50,66,19,35,,41,59,,77,,,72,,,,,
NORTH,7032,54,46,48,51,,31,60,,70,63,,,,,,,
CENTRAL,7221,60,60,37,38,,42,50,,70,,,,,,,,63
EAST,7241,58,65,40,33,44,39,,,68,,80,,,,,,
NORTH,7298,58,44,38,55,,33,78,,77,,,,,,44,,
CENTRAL,7292,58,56,38,34,,40,58,,71,,,69,,,,,
,7145,62,41,51,53,44,47,,,74,,,,,,51,,
EAST,7235,46,51,39,31,,38,61,,74,,,84,,,,,
SOUTH,7111,59,49,44,35,,44,66,,69,,,,,,,60,
NORTH,7266,54,51,35,43,,57,61,,64,,55,,,,,,
ALPHA,7269,57,50,50,33,41,52,63,,70,,,,,,,,
,6983,60,63,44,42,,38,61,,60,,,,,50,,,
EAST,7031,66,54,55,27,,35,54,,70,,,,,,,57,
WEST,6956,65,73,30,27,,19,53,,73,,,74,,,,,
EAST,7293,69,65,25,31,,21,74,,65,,,,62,,,,
ALPHA,7017,74,50,54,43,,43,,39,74,,,,,,,48,
SOUTH,7117,56,48,56,23,,39,67,,68,,57,,,,,,
WEST,7196,57,55,37,45,,27,71,,63,,,59,,,,,
CENTRAL,7150,59,64,44,38,19,50,,,81,,,,,,,,56
ALPHA,7059,49,54,55,44,,32,,48,62,,,74,,,,,
SOUTH,7273,60,45,38,38,,39,69,,70,,,,53,,,,
NORTH,7248,57,55,45,33,,41,69,,59,51,,,,,,,
ALPHA,7053,64,59,46,39,,5,63,,59,,,,,,,,61
SOUTH,7267,53,64,30,54,,38,,44,78,,,,,,,,52
WEST,7204,51,68,26,38,,36,67,,72,46,,,,,,,
ALPHA,7047,46,50,42,25,,38,56,,65,,,77,,,,,
CENTRAL,7291,52,60,30,33,,25,51,,82,,,66,,,,,
EAST,7157,58,51,38,31,,40,67,,54,,,,,,,,64
CENTRAL,7084,58,46,32,41,,42,,46,64,,,,72,,,,
EAST,7211,62,49,48,28,,16,57,,65,,,,,,65,,
NORTH,7297,63,45,34,47,,27,82,,69,,,,,,31,,
,7042,53,58,38,43,,37,,35,81,,,,51,,,,
CENTRAL,7114,50,53,35,31,,26,68,,78,,,,,,,54,
NORTH,7074,55,53,31,43,,30,61,,66,,,,,53,,,
NORTH,7094,56,46,24,40,,25,72,,60,,,,,,,64,
SOUTH,7219,35,65,24,34,,36,66,,65,,,63,,,,,
WEST,7232,64,69,30,38,,16,50,,67,,,,,,,,50
ALPHA,7041,67,54,25,44,,23,67,,72,,,,,36,,,
EAST,7109,55,21,41,28,,27,86,,72,,,,,55,,,
EAST,7049,48,58,17,21,,17,54,,70,,77,,,,,,
ALPHA,7275,56,59,36,39,26,39,,53,78,,,,,,,,
CENTRAL,6952,59,68,33,23,,26,57,,81,,,,,,33,,
NORTH,7278,55,56,26,39,,23,72,,69,36,,,,,,,
CENTRAL,7252,53,56,34,32,,29,,29,77,,70,,,,,,
ALPHA,7161,63,55,36,36,32,29,,51,74,,,,,,,,
,7073,59,44,35,41,,33,61,,68,,,,,35,,,
EAST,7294,58,43,29,25,,37,75,,80,31,,,,,,,
,7229,50,41,28,16,,32,88,,60,,,52,,,,,
EAST,7271,62,36,34,20,,30,62,,66,,,,,,,59,
ALPHA,6981,55,59,21,26,,17,60,,79,42,,,,,,,
CENTRAL,7279,61,46,53,14,40,30,,,82,,,,,,34,,
EAST,7061,62,56,19,24,,21,52,,62,,,62,,,,,
NORTH,7140,35,50,20,36,,20,66,,65,,,64,,,,,
,7231,53,39,40,33,,42,45,,61,,57,,,,,,
SOUTH,7237,57,28,40,43,26,47,53,,75,,,,,,,,
ALPHA,7191,69,63,19,37,,11,,52,61,,,,37,,,,
CENTRAL,6982,59,28,24,30,30,39,77,,80,,,,,,,,
CENTRAL,7289,60,56,30,23,26,29,59,,78,,,,,,,,
NORTH,7283,58,38,32,29,,30,64,,67,45,,,,,,,
CENTRAL,7276,60,49,51,30,38,29,,42,62,,,,,,,,
SOUTH,7177,64,46,21,21,,37,69,,61,31,,,,,,,
ALPHA,7065,46,46,24,29,,23,59,,63,,,50,,,,,
,7218,50,43,31,26,,34,55,,69,,,,,,32,,
NORTH,7242,67,55,36,38,37,30,,,49,,,,,,27,,
NORTH,7228,48,46,33,37,,26,,38,58,,,,49,,,,
EAST,7127,65,35,30,24,,11,53,,58,34,,,,,,,
SOUTH,7057,46,35,29,31,,28,54,,48,,,59,,,,,
CENTRAL,7288,52,38,33,25,,32,45,,57,,,,36,,,,
CENTRAL,7240,37,31,6,13,,11,44,,65,,,63,,,,,
EAST,7139,,,,,,,,,,,,,,,,,
NORTH,6954,,,,,,75,,,,,,,,,,,
SOUTH,7081,51,29,,32,,16,61,,44,47,,,,,,,
ALPHA,6732,77,70,71,77,75,72,,65,63,,,,,,,,
EAST,6947,63,67,82,82,58,80,,,56,,,,,,,,83
ALPHA,6833,74,60,88,80,70,78,,,70,,,,84,,,,
WEST,6743,69,63,88,66,65,77,,47,61,,,,,,,,
SOUTH,6820,70,54,73,69,68,71,,57,67,,,,,,,,
SOUTH,6724,73,68,90,84,51,75,,65,62,,,,,,,,
WEST,6827,70,76,75,71,64,66,,,66,,,,,,,,82
ALPHA,6744,77,66,84,67,65,72,,60,55,,,,,,,,
WEST,6605,66,81,57,70,66,67,,,61,,,79,,,,,
EAST,6862,71,65,70,86,47,66,,,53,,,89,,,,,
WEST,6689,65,62,60,68,,62,81,,65,,,,,,84,,
EAST,6868,67,58,66,81,53,72,,,59,,,,,,87,,
NORTH,6819,72,65,86,65,70,73,,57,64,,,,,,,,
CENTRAL,6733,65,61,83,66,71,81,,,67,,,,,65,,,
CENTRAL,6649,63,67,72,70,69,71,,,65,,,78,,,,,
EAST,6632,67,72,74,81,50,80,,,62,,,,,,,,87
SOUTH,6604,72,62,76,63,60,76,,,54,,83,,,,,,
ALPHA,6660,68,65,84,70,52,62,,51,75,,,,,,,,
EAST,6794,64,72,53,87,44,59,,,59,,80,,,,,,
ALPHA,6672,74,77,71,77,60,62,,47,70,,,,,,,,
CENTRAL,6829,56,61,80,67,66,67,,,62,,,84,,,,,
EAST,6764,64,73,68,70,,70,,64,62,,,,,61,,,
NORTH,6633,76,67,63,71,53,65,,,63,,,,83,,,,
EAST,6758,69,50,89,80,48,57,,,65,,,,,67,,,
WEST,6791,73,69,81,53,62,65,,61,65,,,,,,,,
,6650,61,71,72,75,52,61,,58,68,,,,,,,,
EAST,6710,65,57,71,58,,65,,55,63,,,,,,,,84
WEST,6935,68,74,72,63,,65,,69,48,,,,,,,,73
CENTRAL,6727,70,66,76,72,60,70,,,67,,,,69,,,,
WEST,6641,69,64,56,51,,55,80,,59,,,78,,,,,
,6739,70,76,71,64,66,65,74,,55,,,,,,,,
,6840,78,53,84,57,70,77,,,50,,,,,,68,,
CENTRAL,6936,71,72,75,70,62,67,,70,67,,,,,,,,
WEST,6755,56,57,71,70,82,70,,,55,,,78,,,,,
ALPHA,6798,54,65,74,73,66,63,,,49,,,86,,,,,
CENTRAL,6613,64,64,72,70,61,60,,,57,,,,,,,,85
CENTRAL,6891,73,76,65,75,35,61,,70,61,,,,,,,,
SOUTH,6808,60,69,71,75,,53,91,,64,,,,,,,59,
WEST,6924,71,73,67,62,,58,,60,58,,,,,63,,,
,6762,76,71,60,77,61,64,,55,58,,,,,,,,
,6912,76,56,81,63,71,64,80,,52,,,,,,,,
ALPHA,6938,63,66,71,70,70,52,,59,70,,,,,,,,
NORTH,6639,55,66,70,67,,60,,63,63,,,,,,,,61
WEST,6725,63,70,65,62,70,65,,60,66,,,,,,,,
NORTH,6869,73,68,55,71,,55,,57,40,,,,,,76,,
WEST,6785,70,65,48,54,,56,87,,50,,,,,,,,78
ALPHA,6860,69,54,80,59,53,62,,,48,,,,,,,,80
CENTRAL,6715,62,68,74,77,58,61,,,60,,,,,,,,78
SOUTH,6736,58,66,86,75,30,75,,51,57,,,,,,,,
,6665,70,80,56,51,,40,,50,69,,,,,,,,68
WEST,6837,76,67,53,47,,50,77,,62,,,,,,,,71
WEST,6659,78,53,48,44,,62,72,,50,,,,,,,,73
EAST,6782,62,53,78,81,,60,,46,56,,,78,,,,,
CENTRAL,6637,68,57,68,55,71,60,,64,50,,,,,,,,
,6735,67,68,71,75,,68,,63,48,,,,73,,,,
NORTH,6777,78,65,50,66,,50,75,,57,,,,,,,,71
EAST,6686,65,67,69,75,,57,,46,55,,,,,,,64,
SOUTH,6772,58,60,70,55,,62,,61,57,,,83,,,,,
NORTH,6848,67,67,39,64,,50,,39,47,,,,,,,,65
WEST,6707,74,64,60,56,,51,76,,63,,,,,,,,92
CENTRAL,6787,69,64,68,71,61,61,,,61,,,,,,,,61
SOUTH,6778,58,64,66,75,40,55,,,53,,,89,,,,,
CENTRAL,6817,77,64,47,66,68,69,,63,67,,,,,,,,
EAST,6914,60,65,57,63,,59,78,,57,,,,60,,,,
NORTH,6669,71,70,73,79,56,57,,59,53,,,,,,,,
SOUTH,6812,61,51,58,61,44,51,90,,56,,,,,,,,
WEST,6941,63,52,80,50,77,66,,,40,,,,70,,,,
ALPHA,6866,67,56,61,51,,52,76,,66,,,,,,,,85
,6792,69,62,62,66,,60,,46,70,,,,,,,44,
EAST,6830,72,65,76,70,46,61,,,47,,,77,,,,,
NORTH,6825,61,60,71,66,48,70,,39,57,,,,,,,,
SOUTH,6796,48,56,70,65,38,61,,52,62,,,,,,,,
,6697,76,71,61,58,,41,,50,60,,,,,,,,70
CENTRAL,6930,67,58,81,54,66,63,,,62,,,,,52,,,
NORTH,6813,60,61,72,52,62,71,,48,52,,,,,,,,
CENTRAL,6607,75,74,58,54,,59,,36,60,,,,,,,,78
ALPHA,6810,69,64,67,64,57,60,90,,35,,,,,,,,
NORTH,6842,69,60,33,58,,54,77,,47,,,,71,,,,
,6609,66,49,69,75,33,63,,,54,,,,71,,,,
NORTH,6657,62,70,65,69,,50,60,,51,,,,,,,,65
WEST,6844,55,54,34,44,,47,79,,57,71,,,,,,,
SOUTH,6622,59,60,63,64,51,62,,,51,,,,,,,,73
,6838,65,61,74,70,65,55,,47,53,,,,,,,,
ALPHA,6884,61,70,76,61,61,60,,47,69,,,,,,,,
CENTRAL,6781,58,59,71,65,61,65,,,54,,,,,,,64,
NORTH,6615,73,53,74,66,39,75,,,50,,,,73,,,,
WEST,6737,54,64,41,57,,58,,53,57,,,,,,,,71
CENTRAL,6745,57,63,56,57,,44,76,,52,,,,,,,,77
SOUTH,6849,67,54,67,60,57,62,,,47,72,,,,,,,
CENTRAL,6846,66,52,75,66,63,55,,,64,,,,,45,,,
EAST,6920,57,53,62,74,,62,,40,50,,,,71,,,,
SOUTH,6658,53,50,50,58,,56,80,,51,64,,,,,,,
,6647,69,55,41,57,,67,70,,57,67,,,,,,,
,6653,66,60,48,32,63,62,,,55,,,,,,59,,
WEST,6677,51,62,33,54,,50,84,,63,,,74,,,,,
NORTH,6835,68,62,51,66,47,52,,,60,,,,73,,,,
SOUTH,6876,73,59,64,66,53,60,,,57,,,,,,59,,
WEST,6761,64,62,42,58,,50,81,,66,,,,,47,,,
CENTRAL,6885,66,50,64,56,,47,,42,65,,,83,,,,,
WEST,6695,45,63,57,48,,47,74,,56,,,,,,,,70
ALPHA,6822,69,63,66,75,64,59,,,58,,,,,,70,,
WEST,6923,66,61,75,54,45,58,,,58,,,,,,,,72
ALPHA,6851,60,50,51,65,55,59,85,,61,,,,,,,,
CENTRAL,6703,69,68,74,55,61,50,,,58,,,71,,,,,
EAST,6740,65,54,49,62,,61,65,,50,,,,,36,,,
ALPHA,6702,63,72,65,53,53,62,81,,44,,,,,,,,
NORTH,6831,59,51,44,61,,51,85,,59,,,,,,,,82
,6670,63,62,73,67,51,63,,,45,,,78,,,,,
,6790,69,63,31,59,,47,,43,48,,,,,,,,69
SOUTH,6864,69,44,50,62,53,57,,52,65,,,,,,,,
SOUTH,6814,71,72,60,60,37,55,87,,67,,,,,,,,
,6720,65,62,73,73,57,53,,,53,,,,,,68,,
,6890,85,56,67,61,46,65,,44,46,,,,,,,,
ALPHA,6928,61,53,52,71,59,56,,,41,,,68,,,,,
EAST,6680,60,64,64,57,47,53,,,56,,,,,,,,83
NORTH,6644,69,61,76,69,35,60,,,47,,,,72,,,,
WEST,6617,61,67,44,63,62,60,,,42,,,,,,,,70
ALPHA,6636,64,58,57,58,,54,,47,61,,,,,,,,78
CENTRAL,6811,73,66,42,63,41,60,,35,61,,,,,,,,
,6704,55,62,40,67,,39,72,,42,,,73,,,,,
EAST,6908,70,65,62,65,38,66,,,41,,,,,,,67,
ALPHA,6949,63,55,51,53,,52,,73,45,,,77,,,,,
,6753,65,68,54,70,43,65,,36,61,,,,,,,,
NORTH,6765,70,65,52,66,,51,,42,34,,,,,54,,,
,6634,69,47,69,55,53,62,,,52,,63,,,,,,
SOUTH,6694,62,66,61,62,44,52,,,54,,,,,59,,,
WEST,6713,61,71,69,63,41,49,,,60,,,79,,,,,
ALPHA,6931,64,48,66,65,,51,76,,38,,,,65,,,,
CENTRAL,6903,53,46,63,51,51,71,,63,65,,,,,,,,
ALPHA,6726,58,59,69,60,66,53,,,46,,65,,,,,,
EAST,6722,64,60,27,62,,43,,40,58,,,70,,,,,
NORTH,6807,72,60,49,75,12,75,,42,60,,,,,,,,
ALPHA,6678,47,55,60,72,62,52,,,61,,,67,,,,,
,6687,50,58,45,61,,53,83,,52,,,,,,,,75
NORTH,6759,68,64,45,66,,35,72,,55,,,,,46,,,
WEST,6767,66,59,45,56,,33,80,,46,,,,,,72,,
,6642,61,65,70,66,,50,,40,46,,,,,,,,75
ALPHA,6845,69,47,76,59,42,49,,,52,,,,,,,,92
CENTRAL,6667,63,51,40,48,,41,85,,57,,,,,,,,67
EAST,6948,62,60,67,63,47,59,,,44,,,,,,,,62
NORTH,6645,59,56,35,71,31,66,,53,51,,,,,,,,
SOUTH,6855,81,58,63,52,42,55,,,47,,,,,,79,,
ALPHA,6654,71,47,68,56,,52,,45,33,,,,75,,,,
EAST,6752,65,53,65,67,42,48,,,42,,,,,,,,74
NORTH,6863,63,44,50,63,40,45,,,53,,,,76,,,,
WEST,6629,62,61,44,54,,66,,37,54,,,,,35,,,
,6620,65,53,51,55,,41,82,,50,,,,,,,,74
,6674,66,53,69,70,18,52,,,52,,,,,,77,,
,6746,72,66,48,63,,43,,43,62,62,,,,,,,
,6800,62,71,38,56,,45,,39,62,,,71,,,,,
EAST,6806,75,58,62,61,30,48,,,47,,,,,67,,,
,6628,68,67,41,70,21,65,,,40,,,,67,,,,
SOUTH,6706,69,58,40,60,47,51,,,41,,,,,,,,66
,6666,72,57,70,55,46,51,,53,45,,,,,,,,
ALPHA,6774,58,61,38,60,,47,,48,40,,,84,,,,,
CENTRAL,6793,69,55,60,70,51,41,,,43,,,,,,,,59
,6711,51,57,77,53,47,45,,,59,,,,,,,,71
NORTH,6887,72,65,49,62,,46,65,,47,,,,,,,,63
SOUTH,6730,67,48,64,62,56,57,,,50,,,,74,,,,
ALPHA,6804,58,52,77,56,,37,,33,52,,,77,,,,,
,6763,65,49,63,61,,46,,37,57,,,81,,,,,
CENTRAL,6799,66,57,51,52,46,47,,,52,,,,,,,,71
,6690,63,56,46,57,,43,81,,63,,,,,,,,77
ALPHA,6708,51,50,68,62,,43,73,,36,,,,,,,,60
EAST,6847,75,59,56,70,35,60,,,55,,,,,,62,,
,6676,64,68,20,50,,38,89,,53,,,65,,,,,
SOUTH,6894,64,56,38,55,,45,81,,43,,,,68,,,,
WEST,6701,60,81,56,45,,49,,52,57,,,,,,,,64
,6880,70,43,38,63,38,51,,,52,,,,,,,64,
EAST,6892,60,56,46,71,36,51,,,56,,,,,,,,76
,6621,61,62,75,58,,60,,30,48,,,,,39,,,
,6723,61,52,75,62,38,56,72,,58,,,,,,,,
NORTH,6875,68,47,79,66,37,54,,,34,,,,79,,,,
SOUTH,6826,59,62,68,55,,53,,53,51,,,,,,,56,
WEST,6779,46,51,58,47,71,55,,50,50,,,,,,,,
SOUTH,6832,67,61,36,67,51,52,,51,54,,,,,,,,
,6638,67,65,25,51,,51,76,,50,,,,,,,,63
EAST,6899,58,64,52,55,31,46,,,59,,,,76,,,,
EAST,6668,57,53,34,70,,37,77,,45,,,66,,,,,
ALPHA,6630,56,47,54,62,,48,,47,51,,,,,,,,65
,6824,61,53,45,67,43,70,,,45,,,,,56,,,
EAST,6874,61,66,65,73,39,51,,,45,,,,68,,,,
,6640,62,56,60,56,55,45,75,,50,,,,,,,,
SOUTH,6754,57,61,62,60,49,60,,53,60,,,,,,,,
WEST,6719,53,62,42,36,,48,86,,58,53,,,,,,,
ALPHA,6816,63,51,52,40,,39,67,,53,79,,,,,,,
,6692,46,49,16,62,,48,,58,45,,,,,,,,65
EAST,6853,59,53,73,58,43,61,,31,50,,,,,,,,
,6627,54,70,27,66,,40,71,,55,,,,,,,,73
NORTH,6881,59,58,36,57,,50,70,,47,,,,,41,,,
CENTRAL,6926,62,55,32,59,,39,81,,43,,,73,,,,,
SOUTH,6839,60,56,70,55,30,50,,,52,,,,,,,,57
WEST,6815,51,50,25,48,,41,80,,53,,,64,,,,,
ALPHA,6916,73,56,40,56,45,44,,,44,,,,68,,,,
CENTRAL,6913,74,60,52,60,60,65,,,42,,,,,53,,,
NORTH,6934,56,46,66,54,,56,,41,50,,,,,,,,61
SOUTH,6943,59,53,60,49,45,60,,,46,,,,,,,,58
ALPHA,6696,65,56,41,48,,42,81,,42,,,,65,,,,
WEST,7301,70,56,50,49,48,43,,,50,,,,,52,,,
ALPHA,6618,60,52,46,60,,50,,40,41,,,,,51,,,
NORTH,6909,70,58,60,46,,48,,34,41,69,,,,,,,
WEST,6809,45,60,48,52,55,61,,53,57,,,,,,,,
NORTH,6603,66,60,50,55,,61,70,,52,,,,,,57,,
CENTRAL,6751,61,69,47,56,,44,,44,57,,,,,49,,,
SOUTH,6760,57,56,50,48,,45,,25,36,,,,,33,,,
WEST,6803,61,52,55,47,,51,,36,41,,,,,,75,,
,6728,66,58,61,54,,45,,32,50,,,,57,,,,
EAST,6886,64,46,50,50,49,68,,50,37,,,,,,,,
NORTH,6663,62,65,49,58,30,54,,,44,,,,50,,,,
SOUTH,6859,65,57,31,57,37,65,,,55,,,,66,,,,
SOUTH,6700,68,66,39,63,32,48,,,62,,,,,44,,,
,6731,63,62,43,38,36,41,75,,59,,,,,,,,
,6865,61,51,60,46,,31,76,,46,,,,,,,,50
WEST,6883,66,40,41,40,46,43,,40,47,,,,,,,,
,6606,61,46,60,61,51,43,,,51,,58,,,,,,
ALPHA,6648,49,53,56,47,,42,68,,52,,43,,,,,,
CENTRAL,6619,60,54,60,59,53,42,,,57,,,,,,,,71
EAST,6716,60,58,21,60,,49,75,,57,,57,,,,,,
NORTH,6741,45,56,36,60,,52,84,,48,,,61,,,,,
CENTRAL,6673,47,58,46,62,,50,67,,51,,,68,,,,,
ALPHA,6878,55,51,52,54,,41,61,,41,,,,,,,,56
WEST,6821,56,48,34,36,45,47,,,50,,,,,,,,54
CENTRAL,6805,66,66,51,57,,35,,30,62,,,63,,,,,
ALPHA,6684,67,46,63,50,46,51,84,,52,,,,,,,,
EAST,6656,47,60,32,54,,37,82,,53,,,,,,,,71
NORTH,6795,62,69,41,56,,43,,33,48,,,,59,,,,
WEST,6685,60,47,38,43,,41,71,,47,,,,,,,,49
NORTH,6915,63,60,47,60,47,50,,49,50,,,,,,,,
,6802,60,55,29,56,,50,,43,51,,,,,43,,,
SOUTH,6882,62,44,47,61,50,54,,,48,,,,,,,52,
CENTRAL,6775,67,61,58,55,,40,,35,50,,,,,,,,62
SOUTH,6610,40,52,47,63,,36,,37,56,,,,,,,,56
CENTRAL,6867,60,65,35,43,,40,,51,59,,,,,,,,55
ALPHA,6756,62,60,44,34,54,45,,,52,,,,,,,,76
NORTH,6705,61,56,50,67,,37,66,,46,,,67,,,,,
,6879,67,48,45,53,42,37,,47,50,,,,,,,,
CENTRAL,6897,52,53,35,42,,29,71,,46,,,,,,,,73
SOUTH,6843,60,50,42,57,,38,,38,47,,46,,,,,,
CENTRAL,6861,63,58,79,49,46,42,,24,45,,,,,,,,
ALPHA,6896,70,51,39,46,,53,73,,38,,,,,,,,66
SOUTH,6712,65,42,8,49,,36,89,,55,,,,56,,,,
NORTH,6801,60,57,16,54,,17,71,,50,,,74,,,,,
,6688,48,52,42,60,,45,,46,55,,,,49,,,,
SOUTH,6888,62,42,22,53,44,54,,,26,,,,49,,,,
NORTH,6921,63,42,38,45,,40,,44,45,,,,,,,55,
NORTH,6905,55,47,31,60,,42,80,,56,,,60,,,,,
CENTRAL,6655,65,55,58,44,44,45,,43,43,,,,,,,,
,6601,54,65,41,56,52,52,,34,62,,,,,,,,
CENTRAL,6721,65,59,32,40,,40,,34,52,,,56,,,,,
EAST,6698,52,59,29,50,,40,66,,45,,,73,,,,,
,6747,61,58,15,53,,43,75,,44,80,,,,,,,
NORTH,6789,63,59,39,56,,37,,32,48,56,,,,,,,
EAST,6602,69,58,34,40,,40,67,,52,,,,,,45,,
SOUTH,6766,53,53,40,50,40,51,,41,46,,,,,,,,
,6850,69,48,34,48,,25,,49,39,,,,,,,,59
WEST,7299,74,59,45,49,35,48,,52,49,,,,,,,,
ALPHA,6918,62,66,25,61,,31,80,,47,,57,,,,,,
CENTRAL,6907,67,38,30,51,,56,,30,46,,,,74,,,,
SOUTH,6748,53,56,40,40,30,41,,,51,,,61,,,,,
WEST,6797,62,56,49,41,66,49,,45,59,,,,,,,,
EAST,6788,50,51,42,50,35,52,,,50,,,,,,,,66
NORTH,6854,70,45,46,39,46,42,,,31,,,,,41,,,
SOUTH,6927,52,36,21,60,,45,,33,42,,,,,,,68,
WEST,6917,60,47,17,29,,40,66,,69,,,,51,,,,
CENTRAL,6836,53,44,56,45,41,46,,40,40,,,,,,,,
EAST,6834,60,46,58,50,49,43,,30,36,,,,,,,,
CENTRAL,6643,48,51,51,51,,50,,41,54,,,,,,,,62
,6714,56,49,50,56,,37,,35,37,,,,60,,,,
ALPHA,6786,43,52,45,50,,41,,31,37,,,,,,,,55
EAST,6904,36,55,61,44,35,51,,,38,,,,,,,,50
